Risk Factor Pathway,Sector,Model,Scenario,Geography,Units,2010,2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
Direct emissions cost,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5REF,$ 2010/local currency per year,0,28674536.92,57349073.85,5126153934,1038031492,-1085236081,-8476446792,-23037536071,-41537725837,-76485223834,-141067737000
Direct emissions cost,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5OECD90+EU,$ 2010/local currency per year,0,1062298335,2124596670,22905270159,-13040870927,-84477370092,-201558991067,-332292098207,-464597450647,-611881154901,-786451507591
Direct emissions cost,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year,0,1702536437,3405072873,3986392776,6476854592,10361575118,16323538184,23480979413,33060529654,42055290041,52391853905
Direct emissions cost,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5ASIA,$ 2010/local currency per year,0,434249555,868499109.9,1192107872,2776058070,5012298000,8037064637,11567097791,16573725424,21326836130,26832341423
Direct emissions cost,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5MAF,$ 2010/local currency per year,0,45831826.08,91663652.16,146263941.2,501870162.9,1344539436,3040408326,5475425379,8843029242,12728887026,17283153801
Direct emissions cost,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5LAM,$ 2010/local currency per year,0,12410931.94,24821863.89,32413405.31,126934200.4,438330668.6,1168886448,2194573308,3351387276,4173899075,4545902866
Direct emissions cost,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5REF,$ 2010/local currency per year,0,28674536.92,57349073.85,74272099.8,221060725.6,444567087.8,696622064.9,890339911.8,1017364001,1100375437,1260682109
Direct emissions cost,Oil and gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5OECD90+EU,$ 2010/local currency per year,0,1061096937,2122193874,2225500230,2406622556,2514215076,2637333032,2627092445,2680670070,2393007757,2469768571
Direct emissions cost,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,World,$ 2010/local currency per year,0,191179531.8,382359063.6,78993700275,31522609480,-101189081955,-476679142983,-1046817508622,-1908338284450,-3401111171497,-6123022716893
Direct emissions cost,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5ASIA,$ 2010/local currency per year,0,9416930.151,18833860.3,27239435328,8439216636,-40669212619,-113883826611,-240058595947,-432894530715,-782402161544,-1360583777348
Direct emissions cost,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5MAF,$ 2010/local currency per year,0,12112818.08,24225636.16,15483224630,11420894097,-10155775118,-79574799458,-173440822149,-289011552915,-505799140038,-1033962454400
Direct emissions cost,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5LAM,$ 2010/local currency per year,0,0,0,2981653839,1361164173,-20119140687,-166321020757,-349053186790,-638109919694,-1118218267782,-1948477375254
Direct emissions cost,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5REF,$ 2010/local currency per year,0,0,0,5701797514,1996594729,-2035175467,-5884497067,-23246831049,-48863568515,-92316352414,-173368276458
Direct emissions cost,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5OECD90+EU,$ 2010/local currency per year,0,1254320.51,2508641.019,25947857668,6487261333,-29638955315,-111769574738,-261210974885,-499503199057,-902375407722,-1606630987529
Direct emissions cost,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,World,$ 2010/local currency per year,0,191179531.8,382359063.6,1141718583,2185563572,2727230486,1070738494,2512755061,2168454210,2362723354,3286269748
Direct emissions cost,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5ASIA,$ 2010/local currency per year,0,9416930.151,18833860.3,0,44123082.45,10350194.11,0,24877510.03,52127191.74,32042100.1,296113390.7
Direct emissions cost,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5MAF,$ 2010/local currency per year,0,12112818.08,24225636.16,76772620.87,37318341.96,0,10835782.58,136374216.3,0,0,0
Direct emissions cost,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5LAM,$ 2010/local currency per year,0,0,0,0,0,0,38697341.11,0,0,0,0
Direct emissions cost,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5REF,$ 2010/local currency per year,0,0,0,0,0,5471414.629,70496338.98,141381150.2,111749507.7,101407141.5,101967998.6
Direct emissions cost,Oil and gas,MESSAGEix-GLOBIOM_1.0,NPi_V3,R5OECD90+EU,$ 2010/local currency per year,0,1254320.51,2508641.019,0,339510760,380594886.6,116495406.5,255792676.2,35127447.26,153171514.5,212910474.9
Indirect emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year,0,0,0,0,0,0,0,0,0,0,0
Indirect emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5ASIA,$ 2010/local currency per year,0,0,0,0,0,0,0,0,0,0,0
Indirect emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5MAF,$ 2010/local currency per year,0,0,0,0,0,0,0,0,0,0,0
Indirect emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5LAM,$ 2010/local currency per year,0,0,0,0,0,0,0,0,0,0,0
Indirect emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5REF,$ 2010/local currency per year,0,0,0,0,0,0,0,0,0,0,0
Indirect emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,R5OECD90+EU,$ 2010/local currency per year,0,0,0,0,0,0,0,0,0,0,0
Indirect emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,World,$ 2010/local currency per year,0,0,0,0,0,0,0,0,0,0,0
Indirect emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5ASIA,$ 2010/local currency per year,0,0,0,0,0,0,0,0,0,0,0
Indirect emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5MAF,$ 2010/local currency per year,0,0,0,0,0,0,0,0,0,0,0
Indirect emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5LAM,$ 2010/local currency per year,0,0,0,0,0,0,0,0,0,0,0
Indirect emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5REF,$ 2010/local currency per year,0,0,0,0,0,0,0,0,0,0,0
Indirect emissions cost,Coal,REMIND-MAgPIE 1.7-3.0,NPi_V3,R5OECD90+EU,$ 2010/local currency per year,0,0,0,0,0,0,0,0,0,0,0
Indirect emissions cost,Coal,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,World,$ 2010/local currency per year,0,0,0,0,0,0,0,0,0,0,0
Indirect emissions cost,Coal,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5ASIA,$ 2010/local currency per year,0,0,0,0,0,0,0,0,0,0,0
Indirect emissions cost,Coal,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5MAF,$ 2010/local currency per year,0,0,0,0,0,0,0,0,0,0,0
Indirect emissions cost,Coal,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5LAM,$ 2010/local currency per year,0,0,0,0,0,0,0,0,0,0,0
Indirect emissions cost,Coal,MESSAGEix-GLOBIOM_1.0,NPi2020_400_V3,R5REF,$ 2010/local currency per year,0,0,0,0,0,0,0,0,0,0,0
