year,value,category,variable,model,scenario,region,unit
2060,67826362460.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,Central Asia,$ 2010/local currency per year
2080,50727821920.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,Central Asia,$ 2010/local currency per year
2100,40785709800.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,Central Asia,$ 2010/local currency per year
2020,397277781590.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,OECD90 + EU,$ 2010/local currency per year
2040,548122320340.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,OECD90 + EU,$ 2010/local currency per year
2060,613511274810.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,OECD90 + EU,$ 2010/local currency per year
2080,665609439920.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,OECD90 + EU,$ 2010/local currency per year
2100,713924786180.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi_V3,OECD90 + EU,$ 2010/local currency per year
2020,854708974940.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,World,$ 2010/local currency per year
2040,902417118000.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,World,$ 2010/local currency per year
2060,793488150780.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,World,$ 2010/local currency per year
2080,861149479680.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,World,$ 2010/local currency per year
2100,767459977900.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,World,$ 2010/local currency per year
2020,266903254970.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Asia (No Japan),$ 2010/local currency per year
2040,451396998820.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Asia (No Japan),$ 2010/local currency per year
2060,390288270180.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Asia (No Japan),$ 2010/local currency per year
2080,412779638860.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Asia (No Japan),$ 2010/local currency per year
2100,370246152900.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Asia (No Japan),$ 2010/local currency per year
2020,98594047640.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Mid. East + Africa,$ 2010/local currency per year
2040,102836184990.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Mid. East + Africa,$ 2010/local currency per year
2060,165697083770.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Mid. East + Africa,$ 2010/local currency per year
2080,218867712020.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Mid. East + Africa,$ 2010/local currency per year
2100,204495563280.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Mid. East + Africa,$ 2010/local currency per year
2020,41985956160.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Latin America,$ 2010/local currency per year
2040,48925636540.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Latin America,$ 2010/local currency per year
2060,63532019700.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Latin America,$ 2010/local currency per year
2080,83714593620.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Latin America,$ 2010/local currency per year
2100,80727042760.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Latin America,$ 2010/local currency per year
2020,49939966560.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Central Asia,$ 2010/local currency per year
2040,18458906000.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Central Asia,$ 2010/local currency per year
2060,10484866750.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Central Asia,$ 2010/local currency per year
2080,13930539720.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Central Asia,$ 2010/local currency per year
2100,8895165930.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,Central Asia,$ 2010/local currency per year
2020,397277781590.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,OECD90 + EU,$ 2010/local currency per year
2040,280800878600.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,OECD90 + EU,$ 2010/local currency per year
2060,163490114830.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,OECD90 + EU,$ 2010/local currency per year
2080,131850313280.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,OECD90 + EU,$ 2010/local currency per year
2100,103096264460.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_1000_V3,OECD90 + EU,$ 2010/local currency per year
2020,854708974940.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year
2040,549550145400.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year
2060,386651597900.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year
2080,452631823020.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year
2100,422763659010.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,World,$ 2010/local currency per year
2020,266903254970.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Asia (No Japan),$ 2010/local currency per year
2040,280193101790.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Asia (No Japan),$ 2010/local currency per year
2060,188814630820.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Asia (No Japan),$ 2010/local currency per year
2080,218484529210.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Asia (No Japan),$ 2010/local currency per year
2100,196926697390.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Asia (No Japan),$ 2010/local currency per year
2020,98594047640.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Mid. East + Africa,$ 2010/local currency per year
2040,54732213760.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Mid. East + Africa,$ 2010/local currency per year
2060,71023714750.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Mid. East + Africa,$ 2010/local currency per year
2080,97505492840.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Mid. East + Africa,$ 2010/local currency per year
2100,114227584860.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Mid. East + Africa,$ 2010/local currency per year
2020,41985956160.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Latin America,$ 2010/local currency per year
2040,32752906600.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Latin America,$ 2010/local currency per year
2060,41474268000.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Latin America,$ 2010/local currency per year
2080,57539131500.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Latin America,$ 2010/local currency per year
2100,50415519600.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Latin America,$ 2010/local currency per year
2020,49939966560.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Central Asia,$ 2010/local currency per year
2040,7795696490.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Central Asia,$ 2010/local currency per year
2060,5587475040.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Central Asia,$ 2010/local currency per year
2080,5292925870.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Central Asia,$ 2010/local currency per year
2100,4704375040.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,Central Asia,$ 2010/local currency per year
2020,397277781590.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,OECD90 + EU,$ 2010/local currency per year
2040,174072203650.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,OECD90 + EU,$ 2010/local currency per year
2060,79751507010.00,Revenue,Gas,REMIND-MAgPIE 1.7-3.0,NPi2020_400_V3,OECD90 + EU,$ 2010/local currency per year
