year,value,model,scenario,region,variable
2050,4.3215,MESSAGEix-GLOBIOM 1.0,NPi,World,Coal
2050,3.0034,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Coal
2050,-0.7311,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Coal
2050,1.3077,WITCH-GLOBIOM 4.4,NPi,World,Coal
2050,-0.3668,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Coal
2050,-0.1641,WITCH-GLOBIOM 4.4,NPi2020_400,World,Coal
2050,0.2707,IMAGE 3.0.1,NPi2020_1000,World,Coal
2050,-0.7004,IMAGE 3.0.1,NPi2020_400,World,Coal
2050,1.6374,IMAGE 3.0.1,NPi,World,Coal
2050,8.9481,REMIND-MAgPIE 1.7-3.0,NPi,World,Coal
2050,-0.1052,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Coal
2050,-0.1066,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Coal
2050,1.9228,AIM/CGE 2.1,NPi,World,Gas
2050,-0.2554,AIM/CGE 2.1,NPi2020_1000,World,Gas
2050,-0.0845,AIM/CGE 2.1,NPi2020_400,World,Gas
2050,4.4401,MESSAGEix-GLOBIOM 1.0,NPi,World,Gas
2050,0.5996,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Gas
2050,-3.7154,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Gas
2050,2.6856,WITCH-GLOBIOM 4.4,NPi,World,Gas
2050,0.2923,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Gas
2050,0.1852,WITCH-GLOBIOM 4.4,NPi2020_400,World,Gas
2050,-1.8484,IMAGE 3.0.1,NPi2020_1000,World,Gas
2050,-0.8314,IMAGE 3.0.1,NPi2020_400,World,Gas
2050,1.3217,IMAGE 3.0.1,NPi,World,Gas
2050,-0.6486,REMIND-MAgPIE 1.7-3.0,NPi,World,Gas
2050,-0.9634,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Gas
2050,-0.987,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Gas
2050,0.4812,AIM/CGE 2.1,NPi,World,Oil
2050,-1.2466,AIM/CGE 2.1,NPi2020_1000,World,Oil
2050,-0.7869,AIM/CGE 2.1,NPi2020_400,World,Oil
2050,-3.2684,MESSAGEix-GLOBIOM 1.0,NPi,World,Oil
2050,-6.2748,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Oil
2050,-3.0369,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Oil
2050,3.0557,WITCH-GLOBIOM 4.4,NPi,World,Oil
2050,-3.7314,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Oil
2050,-1.7009,WITCH-GLOBIOM 4.4,NPi2020_400,World,Oil
2050,-0.3043,IMAGE 3.0.1,NPi2020_1000,World,Oil
2050,-1.2322,IMAGE 3.0.1,NPi2020_400,World,Oil
2050,1.7657,IMAGE 3.0.1,NPi,World,Oil
2050,-4.8931,REMIND-MAgPIE 1.7-3.0,NPi,World,Oil
2050,-4.3619,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Oil
2050,-4.8194,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Oil
2060,2.9783,AIM/CGE 2.1,NPi,World,Coal
2060,0.3925,AIM/CGE 2.1,NPi2020_1000,World,Coal
2060,0.3038,AIM/CGE 2.1,NPi2020_400,World,Coal
2060,4.7223,MESSAGEix-GLOBIOM 1.0,NPi,World,Coal
2060,2.4349,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Coal
2060,-3.1617,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Coal
2060,1.4594,WITCH-GLOBIOM 4.4,NPi,World,Coal
2060,-0.2945,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Coal
2060,-0.1338,WITCH-GLOBIOM 4.4,NPi2020_400,World,Coal
2060,1.288,IMAGE 3.0.1,NPi2020_1000,World,Coal
2060,0.9181,IMAGE 3.0.1,NPi2020_400,World,Coal
2060,2.6832,IMAGE 3.0.1,NPi,World,Coal
2060,5.8857,REMIND-MAgPIE 1.7-3.0,NPi,World,Coal
2060,-0.2367,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Coal
2060,-0.089,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Coal
2060,1.1984,AIM/CGE 2.1,NPi,World,Gas
2060,0.2758,AIM/CGE 2.1,NPi2020_1000,World,Gas
2060,0.8663,AIM/CGE 2.1,NPi2020_400,World,Gas
2060,2.2364,MESSAGEix-GLOBIOM 1.0,NPi,World,Gas
2060,-2.9954,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Gas
2060,-3.828,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Gas
2060,2.2896,WITCH-GLOBIOM 4.4,NPi,World,Gas
2060,0.2592,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Gas
2060,-0.3467,WITCH-GLOBIOM 4.4,NPi2020_400,World,Gas
2060,1.1061,IMAGE 3.0.1,NPi2020_1000,World,Gas
2060,0.4836,IMAGE 3.0.1,NPi2020_400,World,Gas
2060,0.7423,IMAGE 3.0.1,NPi,World,Gas
2060,-1.0098,REMIND-MAgPIE 1.7-3.0,NPi,World,Gas
2060,-0.4865,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Gas
2060,-0.347,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Gas
2060,0.2549,AIM/CGE 2.1,NPi,World,Oil
2060,-0.2057,AIM/CGE 2.1,NPi2020_1000,World,Oil
2060,0.8845,AIM/CGE 2.1,NPi2020_400,World,Oil
2060,-0.7098,MESSAGEix-GLOBIOM 1.0,NPi,World,Oil
2060,-3.6276,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Oil
2060,-1.0385,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Oil
2060,2.1961,WITCH-GLOBIOM 4.4,NPi,World,Oil
2060,-1.7666,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Oil
2060,0.2762,WITCH-GLOBIOM 4.4,NPi2020_400,World,Oil
2060,-1.9418,IMAGE 3.0.1,NPi2020_1000,World,Oil
2060,-0.6327,IMAGE 3.0.1,NPi2020_400,World,Oil
2060,1.4747,IMAGE 3.0.1,NPi,World,Oil
2060,-4.3407,REMIND-MAgPIE 1.7-3.0,NPi,World,Oil
2060,-3.4217,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Oil
2060,-3.0061,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Oil
2070,2.9413,AIM/CGE 2.1,NPi,World,Coal
2070,1.0836,AIM/CGE 2.1,NPi2020_1000,World,Coal
2070,-0.348,AIM/CGE 2.1,NPi2020_400,World,Coal
2070,4.7798,MESSAGEix-GLOBIOM 1.0,NPi,World,Coal
2070,-0.0932,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Coal
2070,-0.7162,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Coal
2070,0.3373,WITCH-GLOBIOM 4.4,NPi,World,Coal
2070,-0.1076,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Coal
2070,-0.0684,WITCH-GLOBIOM 4.4,NPi2020_400,World,Coal
2070,2.538,IMAGE 3.0.1,NPi2020_1000,World,Coal
2070,2.3348,IMAGE 3.0.1,NPi2020_400,World,Coal
2070,4.2292,IMAGE 3.0.1,NPi,World,Coal
2070,4.5458,REMIND-MAgPIE 1.7-3.0,NPi,World,Coal
2070,-0.2144,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Coal
2070,-0.0499,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Coal
2070,0.7877,AIM/CGE 2.1,NPi,World,Gas
2070,0.949,AIM/CGE 2.1,NPi2020_1000,World,Gas
2070,-0.4997,AIM/CGE 2.1,NPi2020_400,World,Gas
2070,1.3172,MESSAGEix-GLOBIOM 1.0,NPi,World,Gas
2070,-3.9347,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Gas
2070,-3.1671,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Gas
2070,1.6626,WITCH-GLOBIOM 4.4,NPi,World,Gas
2070,-0.6264,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Gas
2070,-0.0736,WITCH-GLOBIOM 4.4,NPi2020_400,World,Gas
2070,0.7606,IMAGE 3.0.1,NPi2020_1000,World,Gas
2070,0.6056,IMAGE 3.0.1,NPi2020_400,World,Gas
2070,0.734,IMAGE 3.0.1,NPi,World,Gas
2070,0.5173,REMIND-MAgPIE 1.7-3.0,NPi,World,Gas
2070,-0.2504,REMIND-MAgPIE 1.7-3.0,NPi2020_1000,World,Gas
2070,0.3098,REMIND-MAgPIE 1.7-3.0,NPi2020_400,World,Gas
2070,0.096,AIM/CGE 2.1,NPi,World,Oil
2070,1.2535,AIM/CGE 2.1,NPi2020_1000,World,Oil
2070,-0.8411,AIM/CGE 2.1,NPi2020_400,World,Oil
2070,1.351,MESSAGEix-GLOBIOM 1.0,NPi,World,Oil
2070,-2.6555,MESSAGEix-GLOBIOM 1.0,NPi2020_1000,World,Oil
2070,-0.3404,MESSAGEix-GLOBIOM 1.0,NPi2020_400,World,Oil
2070,2.2287,WITCH-GLOBIOM 4.4,NPi,World,Oil
