year,value,model,scenario,region,variable
2050,12.7469,WITCH-GLOBIOM 4.4,NPi,World,Oil
2060,9.561546,WITCH-GLOBIOM 4.4,NPi,World,Coal
2060,14.86206,WITCH-GLOBIOM 4.4,NPi,World,Gas
2060,9.161062,WITCH-GLOBIOM 4.4,NPi,World,Oil
2070,2.209887,WITCH-GLOBIOM 4.4,NPi,World,Coal
2070,10.79213,WITCH-GLOBIOM 4.4,NPi,World,Gas
2070,9.297054,WITCH-GLOBIOM 4.4,NPi,World,Oil
2080,-4.45974,WITCH-GLOBIOM 4.4,NPi,World,Coal
2080,6.376874,WITCH-GLOBIOM 4.4,NPi,World,Gas
2080,5.426723,WITCH-GLOBIOM 4.4,NPi,World,Oil
2090,-3.78098,WITCH-GLOBIOM 4.4,NPi,World,Coal
2090,0.877599,WITCH-GLOBIOM 4.4,NPi,World,Gas
2090,-14.6783,WITCH-GLOBIOM 4.4,NPi,World,Oil
2010,6.145491,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Coal
2010,10.5234,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Gas
2010,15.35826,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Oil
2020,-53.718,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Coal
2020,-34.3841,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Gas
2020,-11.3115,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Oil
2030,0.304654,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Coal
2030,-6.32624,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Gas
2030,-9.23323,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Oil
2040,-2.71764,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Coal
2040,-3.28905,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Gas
2040,-9.63536,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Oil
2050,-2.40316,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Coal
2050,1.897354,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Gas
2050,-15.5656,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Oil
2060,-1.92947,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Coal
2060,1.682498,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Gas
2060,-7.3694,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Oil
2070,-0.70496,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Coal
2070,-4.06604,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Gas
2070,-10.6365,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Oil
2080,-0.88907,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Coal
2080,-1.10933,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Gas
2080,-7.02233,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Oil
2090,-0.39834,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Coal
2090,0.784776,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Gas
2090,2.496651,WITCH-GLOBIOM 4.4,NPi2020_1000,World,Oil
2010,6.145491,WITCH-GLOBIOM 4.4,NPi2020_400,World,Coal
2010,10.5234,WITCH-GLOBIOM 4.4,NPi2020_400,World,Gas
2010,15.35826,WITCH-GLOBIOM 4.4,NPi2020_400,World,Oil
2020,-58.1057,WITCH-GLOBIOM 4.4,NPi2020_400,World,Coal
2020,-48.7412,WITCH-GLOBIOM 4.4,NPi2020_400,World,Gas
2020,-31.4077,WITCH-GLOBIOM 4.4,NPi2020_400,World,Oil
2030,0.661066,WITCH-GLOBIOM 4.4,NPi2020_400,World,Coal
2030,-10.7266,WITCH-GLOBIOM 4.4,NPi2020_400,World,Gas
2030,-24.1218,WITCH-GLOBIOM 4.4,NPi2020_400,World,Oil
2040,-2.44116,WITCH-GLOBIOM 4.4,NPi2020_400,World,Coal
2040,-3.39421,WITCH-GLOBIOM 4.4,NPi2020_400,World,Gas
2040,-14.5394,WITCH-GLOBIOM 4.4,NPi2020_400,World,Oil
2050,-1.07513,WITCH-GLOBIOM 4.4,NPi2020_400,World,Coal
2050,1.202155,WITCH-GLOBIOM 4.4,NPi2020_400,World,Gas
2050,-7.09533,WITCH-GLOBIOM 4.4,NPi2020_400,World,Oil
2060,-0.87662,WITCH-GLOBIOM 4.4,NPi2020_400,World,Coal
2060,-2.25047,WITCH-GLOBIOM 4.4,NPi2020_400,World,Gas
2060,1.152172,WITCH-GLOBIOM 4.4,NPi2020_400,World,Oil
2070,-0.44814,WITCH-GLOBIOM 4.4,NPi2020_400,World,Coal
2070,-0.47775,WITCH-GLOBIOM 4.4,NPi2020_400,World,Gas
2070,-2.29225,WITCH-GLOBIOM 4.4,NPi2020_400,World,Oil
2080,-0.29024,WITCH-GLOBIOM 4.4,NPi2020_400,World,Coal
2080,0.598481,WITCH-GLOBIOM 4.4,NPi2020_400,World,Gas
2080,-3.50491,WITCH-GLOBIOM 4.4,NPi2020_400,World,Oil
2090,0,WITCH-GLOBIOM 4.4,NPi2020_400,World,Coal
2090,-0.92174,WITCH-GLOBIOM 4.4,NPi2020_400,World,Gas
2090,2.817023,WITCH-GLOBIOM 4.4,NPi2020_400,World,Oil
2010,13.17121,IMAGE 3.0.1,NPi,World,Coal
2010,21.96676,IMAGE 3.0.1,NPi,World,Gas
2010,-5.16139,IMAGE 3.0.1,NPi,World,Oil
2020,15.41856,IMAGE 3.0.1,NPi,World,Coal
2020,22.43292,IMAGE 3.0.1,NPi,World,Gas
2020,-8.91696,IMAGE 3.0.1,NPi,World,Oil
2030,10.56831,IMAGE 3.0.1,NPi,World,Coal
2030,20.6908,IMAGE 3.0.1,NPi,World,Gas
2030,-0.37298,IMAGE 3.0.1,NPi,World,Oil
2040,11.99993,IMAGE 3.0.1,NPi,World,Coal
2040,9.052413,IMAGE 3.0.1,NPi,World,Gas
